Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,16.009800,16.095699,15.904300,16.068300,2.412877,47600787
1996-01-02,16.029301,16.107401,15.826200,15.943400,2.394122,77143764
1996-01-03,16.205000,16.943001,16.029301,16.064400,2.412292,95695836
1996-01-04,15.912100,15.962900,15.701300,15.916000,2.390007,99159504
1996-01-05,15.853600,15.853600,15.670000,15.806700,2.373594,76213503
1996-01-08,15.775500,15.787200,15.017900,15.174100,2.278601,85478335
1996-01-09,14.725100,14.994500,14.233100,14.736800,2.212934,177730990
1996-01-10,14.447800,14.795400,14.291600,14.358000,2.156052,126455257
1996-01-11,14.213500,14.877400,14.194000,14.807100,2.223491,187276245
1996-01-12,14.916400,15.029600,14.553300,14.650900,2.200035,171294714
1996-01-15,14.607900,14.682100,14.416600,14.498600,2.177165,91424832
1996-01-16,14.447800,14.604000,14.401000,14.525900,2.181265,99318282
1996-01-17,14.447800,14.467400,13.827000,13.948000,2.094485,136980711
1996-01-18,13.592700,13.815300,13.417000,13.561400,2.036432,172581585
1996-01-19,13.374000,13.541900,13.233400,13.323200,2.000663,148366639
1996-01-22,13.366200,13.725400,13.354500,13.549700,2.034674,154802916
1996-01-23,13.596600,13.655200,12.261100,12.975700,1.948481,162257165
1996-01-24,12.862500,12.940600,12.339200,12.530600,1.881643,160550300
1996-01-25,12.503200,12.557900,11.929200,12.003400,1.802476,164971119
1996-01-26,null,null,null,null,null,null
1996-01-29,11.948700,13.061600,11.874600,12.948400,1.944381,298484960
1996-01-30,13.354500,14.760200,13.159200,14.112000,2.119112,485481422
1996-01-31,13.979300,14.506400,13.452100,13.803500,2.072786,334445006
1996-02-01,13.666900,14.447800,13.627800,14.358000,2.156052,292779831
1996-02-02,14.740700,16.087900,14.740700,15.916000,2.390007,374293835
1996-02-05,16.790701,17.587299,16.287001,17.239799,2.588794,558877894
1996-02-06,17.653700,17.962200,15.431900,15.795000,2.371837,567944894
1996-02-07,14.920300,16.243999,14.764100,16.087900,2.415821,409365875
1996-02-08,16.251900,17.778601,16.087900,17.493601,2.626906,375632565
1996-02-09,18.118401,18.899300,17.501400,18.508900,2.779367,454624685
1996-02-12,18.040300,18.352600,17.103100,17.349100,2.605207,444182462
1996-02-13,17.181200,19.067200,17.032801,18.391701,2.761768,465868482
1996-02-14,18.860300,19.129700,18.262800,18.403400,2.763525,284567545
1996-02-15,17.962200,18.547899,17.806000,18.110500,2.719541,319621659
1996-02-16,17.806000,17.981701,17.653700,17.790400,2.671475,226593039
1996-02-19,18.118401,18.368299,17.864500,17.969999,2.698445,236918099
1996-02-20,17.962200,18.036400,16.790701,17.021099,2.555953,292189535
1996-02-21,null,null,null,null,null,null
1996-02-22,17.415501,18.040300,17.263201,17.919201,2.690815,280498215
1996-02-23,17.884100,17.923100,17.431101,17.727900,2.662089,249656203
1996-02-26,17.923100,18.294100,17.653700,17.766899,2.667946,249137613
1996-02-27,17.868500,17.962200,17.263201,17.563900,2.637462,248008880
1996-02-28,17.903601,18.102699,17.610701,17.649799,2.650362,195587768
1996-02-29,17.493601,17.556101,16.439301,16.544701,2.484416,319055691
1996-03-01,16.673599,16.884399,16.287001,16.638399,2.498486,330610002
1996-03-04,16.712601,16.790701,16.275299,16.466600,2.472688,307859272
1996-03-05,null,null,null,null,null,null
1996-03-06,16.751699,17.165600,16.603300,17.052299,2.560638,248632468
1996-03-07,17.290501,17.591200,17.122601,17.204599,2.583508,390607648
1996-03-08,16.986000,17.181200,16.771200,17.114799,2.570024,295707623
1996-03-11,16.868799,17.220301,16.802401,17.169500,2.578238,288513950
1996-03-12,17.142200,18.586901,17.064100,18.052000,2.710757,367109765
1996-03-13,17.571699,17.825500,17.356899,17.743500,2.664432,264112056
1996-03-14,17.727900,17.915300,17.610701,17.739599,2.663845,273207866
1996-03-15,17.645901,17.700600,17.025000,17.157801,2.576481,284560502
1996-03-18,16.982100,17.025000,16.314301,16.376801,2.459203,305076173
1996-03-19,16.322100,16.618900,15.033600,15.369400,2.307928,474215218
1996-03-20,null,null,null,null,null,null
1996-03-21,16.009800,16.642300,16.009800,16.470501,2.473274,306511579
1996-03-22,16.162100,16.162100,15.502100,15.802800,2.373009,308507189
1996-03-25,16.005899,16.095699,15.482600,15.709100,2.358938,209001319
1996-03-26,15.619300,15.931700,15.111700,15.607600,2.343697,243386388
1996-03-27,16.166000,16.396299,16.091801,16.162100,2.426963,172456739
1996-03-28,16.205000,16.454901,16.150299,16.372900,2.458617,164309756
1996-03-29,16.353399,16.458799,16.103500,16.154200,2.425776,149017118
1996-04-01,16.224501,16.361200,16.087900,16.306499,2.448646,113153107
1996-04-02,16.341700,16.556400,16.185499,16.349501,2.455104,167974458
1996-04-03,16.716499,16.900101,16.447100,16.486200,2.475631,135793076
1996-04-04,16.322100,16.345600,16.119101,16.290899,2.446304,110561438
1996-04-05,null,null,null,null,null,null
1996-04-08,16.497900,16.650200,16.392401,16.564301,2.487359,104283940
1996-04-09,16.771200,16.962500,16.497900,16.583799,2.490287,146377431
1996-04-10,16.790701,16.864901,16.509600,16.576000,2.489116,130339559
1996-04-11,16.419800,16.517401,16.310400,16.404200,2.463317,98969354
1996-04-12,16.404200,16.986000,16.330000,16.853201,2.530741,155943173
1996-04-15,17.181200,17.630301,17.146099,17.286600,2.595822,217890973
1996-04-16,17.337400,17.552200,17.181200,17.325701,2.601693,177809099
1996-04-17,17.806000,18.254999,17.638100,18.063700,2.712514,187442066
1996-04-18,18.625999,19.153099,18.481501,19.055500,2.861447,313725740
1996-04-19,19.211700,19.563200,19.020399,19.176600,2.879631,300782761
1996-04-22,19.367901,19.406900,18.469801,18.567400,2.788151,264176719
1996-04-23,18.395599,18.645500,18.157400,18.442499,2.769396,260702167
1996-04-24,19.297600,20.156700,19.227301,19.938000,2.993967,244538169
1996-04-25,20.070801,20.500299,18.586901,18.922800,2.841520,283543810
1996-04-26,18.899300,19.324900,18.430700,19.090700,2.866733,289172751
1996-04-29,18.899300,18.997000,18.567400,18.934500,2.843277,192505679
1996-04-30,18.899300,19.524099,18.782200,19.106300,2.869075,196289465
1996-05-01,20.851700,21.078199,20.636999,20.777500,3.120029,226512370
1996-05-02,20.617500,20.898600,20.305099,20.793200,3.122387,231768694
1996-05-03,20.613501,20.734600,20.226999,20.320700,3.051434,225624365
1996-05-06,19.836500,19.945801,19.079000,19.180500,2.880217,270214130
1996-05-07,19.153099,19.559200,19.079000,19.414801,2.915401,250805424
1996-05-08,19.055500,19.797400,18.821199,19.520201,2.931228,359177261
1996-05-09,19.153099,19.555300,18.938400,19.043800,2.859690,278596078
1996-05-10,18.586901,18.950100,18.473700,18.844700,2.829792,277174758
1996-05-13,19.094601,19.360100,18.985201,19.243000,2.889603,182121718
1996-05-14,19.211700,19.906799,19.114100,19.777901,2.969926,297622564
1996-05-15,19.465500,19.992701,19.059401,19.820900,2.976382,419332404
